date,sex,age,ethnicity,population,year
01/01/2000,female,0-4,overall,1373.9,2000
01/01/2000,female,0-4,bumi_malay,766.4,2000
01/01/2000,female,0-4,bumi_other,165.8,2000
01/01/2000,female,0-4,chinese,263.6,2000
01/01/2000,female,0-4,indian,91.2,2000
01/01/2000,female,0-4,other_citizen,22.5,2000
01/01/2000,female,5-9,overall,1280.9,2000
01/01/2000,female,5-9,bumi_malay,725.7,2000
01/01/2000,female,5-9,bumi_other,163.7,2000
01/01/2000,female,5-9,chinese,245.3,2000
01/01/2000,female,5-9,indian,84.1,2000
01/01/2000,female,5-9,other_citizen,19.8,2000
01/01/2000,female,10-14,overall,1235.2,2000
01/01/2000,female,10-14,bumi_malay,693.3,2000
01/01/2000,female,10-14,bumi_other,154,2000
01/01/2000,female,10-14,chinese,251.3,2000
01/01/2000,female,10-14,indian,84.5,2000
01/01/2000,female,10-14,other_citizen,17,2000
01/01/2000,female,15-19,overall,1151.1,2000
01/01/2000,female,15-19,bumi_malay,623.2,2000
01/01/2000,female,15-19,bumi_other,140.4,2000
01/01/2000,female,15-19,chinese,244.5,2000
01/01/2000,female,15-19,indian,81.4,2000
01/01/2000,female,15-19,other_citizen,14.4,2000
01/01/2000,female,20-24,overall,1033.8,2000
01/01/2000,female,20-24,bumi_malay,497.4,2000
01/01/2000,female,20-24,bumi_other,117.3,2000
01/01/2000,female,20-24,chinese,230.2,2000
01/01/2000,female,20-24,indian,77,2000
01/01/2000,female,20-24,other_citizen,11.4,2000
01/01/2000,female,25-29,overall,950.9,2000
01/01/2000,female,25-29,bumi_malay,433.7,2000
01/01/2000,female,25-29,bumi_other,103.2,2000
01/01/2000,female,25-29,chinese,224.4,2000
01/01/2000,female,25-29,indian,73.3,2000
01/01/2000,female,25-29,other_citizen,9.8,2000
01/01/2000,female,30-34,overall,905.3,2000
01/01/2000,female,30-34,bumi_malay,423.5,2000
01/01/2000,female,30-34,bumi_other,97.3,2000
01/01/2000,female,30-34,chinese,228.7,2000
01/01/2000,female,30-34,indian,70.5,2000
01/01/2000,female,30-34,other_citizen,9.8,2000
01/01/2000,female,35-39,overall,818,2000
01/01/2000,female,35-39,bumi_malay,383,2000
01/01/2000,female,35-39,bumi_other,83.8,2000
01/01/2000,female,35-39,chinese,220.7,2000
01/01/2000,female,35-39,indian,65.7,2000
01/01/2000,female,35-39,other_citizen,8.6,2000
01/01/2000,female,40-44,overall,705,2000
01/01/2000,female,40-44,bumi_malay,332.6,2000
01/01/2000,female,40-44,bumi_other,63.5,2000
01/01/2000,female,40-44,chinese,207.8,2000
01/01/2000,female,40-44,indian,60.7,2000
01/01/2000,female,40-44,other_citizen,6.7,2000
01/01/2000,female,45-49,overall,581.7,2000
01/01/2000,female,45-49,bumi_malay,274.4,2000
01/01/2000,female,45-49,bumi_other,49,2000
01/01/2000,female,45-49,chinese,182.9,2000
01/01/2000,female,45-49,indian,50.7,2000
01/01/2000,female,45-49,other_citizen,5.1,2000
01/01/2000,female,50-54,overall,419.4,2000
01/01/2000,female,50-54,bumi_malay,195.1,2000
01/01/2000,female,50-54,bumi_other,36.6,2000
01/01/2000,female,50-54,chinese,139.8,2000
01/01/2000,female,50-54,indian,33,2000
01/01/2000,female,50-54,other_citizen,3.5,2000
01/01/2000,female,55-59,overall,315.9,2000
01/01/2000,female,55-59,bumi_malay,145.9,2000
01/01/2000,female,55-59,bumi_other,27.7,2000
01/01/2000,female,55-59,chinese,110.6,2000
01/01/2000,female,55-59,indian,23.3,2000
01/01/2000,female,55-59,other_citizen,2.5,2000
01/01/2000,female,60-64,overall,261.6,2000
01/01/2000,female,60-64,bumi_malay,121.6,2000
01/01/2000,female,60-64,bumi_other,23.7,2000
01/01/2000,female,60-64,chinese,89.6,2000
01/01/2000,female,60-64,indian,19.6,2000
01/01/2000,female,60-64,other_citizen,1.9,2000
01/01/2000,female,65-69,overall,196.7,2000
01/01/2000,female,65-69,bumi_malay,91.9,2000
01/01/2000,female,65-69,bumi_other,17.9,2000
01/01/2000,female,65-69,chinese,67.5,2000
01/01/2000,female,65-69,indian,14.1,2000
01/01/2000,female,65-69,other_citizen,1.3,2000
01/01/2000,female,70-74,overall,138.3,2000
01/01/2000,female,70-74,bumi_malay,67.6,2000
01/01/2000,female,70-74,bumi_other,11.3,2000
01/01/2000,female,70-74,chinese,46.9,2000
01/01/2000,female,70-74,indian,8,2000
01/01/2000,female,70-74,other_citizen,1.1,2000
01/01/2000,female,75-79,overall,76.6,2000
01/01/2000,female,75-79,bumi_malay,35.8,2000
01/01/2000,female,75-79,bumi_other,6.5,2000
01/01/2000,female,75-79,chinese,26.7,2000
01/01/2000,female,75-79,indian,4.6,2000
01/01/2000,female,75-79,other_citizen,0.6,2000
01/01/2000,female,80-84,overall,50.4,2000
01/01/2000,female,80-84,bumi_malay,23.8,2000
01/01/2000,female,80-84,bumi_other,3.4,2000
01/01/2000,female,80-84,chinese,18,2000
01/01/2000,female,80-84,indian,2.5,2000
01/01/2000,female,80-84,other_citizen,0.4,2000
01/01/2000,female,85+,overall,34.5,2000
01/01/2000,female,85+,bumi_malay,15.4,2000
01/01/2000,female,85+,bumi_other,2.5,2000
01/01/2000,female,85+,chinese,12.9,2000
01/01/2000,female,85+,indian,1.5,2000
01/01/2000,female,85+,other_citizen,0.3,2000
01/01/2000,male,0-4,overall,1459.5,2000
01/01/2000,male,0-4,bumi_malay,813,2000
01/01/2000,male,0-4,bumi_other,173.1,2000
01/01/2000,male,0-4,chinese,283.1,2000
01/01/2000,male,0-4,indian,94.5,2000
01/01/2000,male,0-4,other_citizen,24,2000
01/01/2000,male,5-9,overall,1365.1,2000
01/01/2000,male,5-9,bumi_malay,769.9,2000
01/01/2000,male,5-9,bumi_other,171.6,2000
01/01/2000,male,5-9,chinese,268.3,2000
01/01/2000,male,5-9,indian,87.8,2000
01/01/2000,male,5-9,other_citizen,20.7,2000
01/01/2000,male,10-14,overall,1288.4,2000
01/01/2000,male,10-14,bumi_malay,720.1,2000
01/01/2000,male,10-14,bumi_other,159.3,2000
01/01/2000,male,10-14,chinese,268.5,2000
01/01/2000,male,10-14,indian,88.8,2000
01/01/2000,male,10-14,other_citizen,17.2,2000
01/01/2000,male,15-19,overall,1184.6,2000
01/01/2000,male,15-19,bumi_malay,636.2,2000
01/01/2000,male,15-19,bumi_other,143,2000
01/01/2000,male,15-19,chinese,258.5,2000
01/01/2000,male,15-19,indian,84.3,2000
01/01/2000,male,15-19,other_citizen,14,2000
01/01/2000,male,20-24,overall,1054.7,2000
01/01/2000,male,20-24,bumi_malay,491.4,2000
01/01/2000,male,20-24,bumi_other,114.8,2000
01/01/2000,male,20-24,chinese,240,2000
01/01/2000,male,20-24,indian,76,2000
01/01/2000,male,20-24,other_citizen,9.9,2000
01/01/2000,male,25-29,overall,968.6,2000
01/01/2000,male,25-29,bumi_malay,420.7,2000
01/01/2000,male,25-29,bumi_other,99.3,2000
01/01/2000,male,25-29,chinese,231.9,2000
01/01/2000,male,25-29,indian,71.2,2000
01/01/2000,male,25-29,other_citizen,7.9,2000
01/01/2000,male,30-34,overall,931.8,2000
01/01/2000,male,30-34,bumi_malay,413.9,2000
01/01/2000,male,30-34,bumi_other,94.9,2000
01/01/2000,male,30-34,chinese,234.4,2000
01/01/2000,male,30-34,indian,69.4,2000
01/01/2000,male,30-34,other_citizen,8.3,2000
01/01/2000,male,35-39,overall,850.2,2000
01/01/2000,male,35-39,bumi_malay,377.2,2000
01/01/2000,male,35-39,bumi_other,83.4,2000
01/01/2000,male,35-39,chinese,227.7,2000
01/01/2000,male,35-39,indian,65.1,2000
01/01/2000,male,35-39,other_citizen,7.8,2000
01/01/2000,male,40-44,overall,746,2000
01/01/2000,male,40-44,bumi_malay,336.5,2000
01/01/2000,male,40-44,bumi_other,67.7,2000
01/01/2000,male,40-44,chinese,220.6,2000
01/01/2000,male,40-44,indian,60.8,2000
01/01/2000,male,40-44,other_citizen,7.9,2000
01/01/2000,male,45-49,overall,623.4,2000
01/01/2000,male,45-49,bumi_malay,282.2,2000
01/01/2000,male,45-49,bumi_other,54.2,2000
01/01/2000,male,45-49,chinese,197.9,2000
01/01/2000,male,45-49,indian,51.2,2000
01/01/2000,male,45-49,other_citizen,6.8,2000
01/01/2000,male,50-54,overall,458.3,2000
01/01/2000,male,50-54,bumi_malay,204.7,2000
01/01/2000,male,50-54,bumi_other,40.1,2000
01/01/2000,male,50-54,chinese,156.3,2000
01/01/2000,male,50-54,indian,34,2000
01/01/2000,male,50-54,other_citizen,4,2000
01/01/2000,male,55-59,overall,342.1,2000
01/01/2000,male,55-59,bumi_malay,151.9,2000
01/01/2000,male,55-59,bumi_other,29.8,2000
01/01/2000,male,55-59,chinese,123.9,2000
01/01/2000,male,55-59,indian,23.6,2000
01/01/2000,male,55-59,other_citizen,2.7,2000
01/01/2000,male,60-64,overall,257.7,2000
01/01/2000,male,60-64,bumi_malay,114.5,2000
01/01/2000,male,60-64,bumi_other,23.2,2000
01/01/2000,male,60-64,chinese,93.3,2000
01/01/2000,male,60-64,indian,17,2000
01/01/2000,male,60-64,other_citizen,2.3,2000
01/01/2000,male,65-69,overall,181.6,2000
01/01/2000,male,65-69,bumi_malay,81.5,2000
01/01/2000,male,65-69,bumi_other,16.9,2000
01/01/2000,male,65-69,chinese,65.9,2000
01/01/2000,male,65-69,indian,11.3,2000
01/01/2000,male,65-69,other_citizen,1.7,2000
01/01/2000,male,70-74,overall,125.9,2000
01/01/2000,male,70-74,bumi_malay,60.4,2000
01/01/2000,male,70-74,bumi_other,12,2000
01/01/2000,male,70-74,chinese,40.7,2000
01/01/2000,male,70-74,indian,7.9,2000
01/01/2000,male,70-74,other_citizen,1.2,2000
01/01/2000,male,75-79,overall,66.1,2000
01/01/2000,male,75-79,bumi_malay,31.8,2000
01/01/2000,male,75-79,bumi_other,6.9,2000
01/01/2000,male,75-79,chinese,20.2,2000
01/01/2000,male,75-79,indian,4.1,2000
01/01/2000,male,75-79,other_citizen,0.7,2000
01/01/2000,male,80-84,overall,37.5,2000
01/01/2000,male,80-84,bumi_malay,18.8,2000
01/01/2000,male,80-84,bumi_other,3.3,2000
01/01/2000,male,80-84,chinese,11.2,2000
01/01/2000,male,80-84,indian,2,2000
01/01/2000,male,80-84,other_citizen,0.5,2000
01/01/2000,male,85+,overall,24.3,2000
01/01/2000,male,85+,bumi_malay,11,2000
01/01/2000,male,85+,bumi_other,2.2,2000
01/01/2000,male,85+,chinese,8.1,2000
01/01/2000,male,85+,indian,1.3,2000
01/01/2000,male,85+,other_citizen,0.3,2000
01/01/2001,female,0-4,overall,1359.7,2001
01/01/2001,female,0-4,bumi_malay,759.8,2001
01/01/2001,female,0-4,bumi_other,165.4,2001
01/01/2001,female,0-4,chinese,265.1,2001
01/01/2001,female,0-4,indian,90.7,2001
01/01/2001,female,0-4,other_citizen,21.8,2001
01/01/2001,female,5-9,overall,1299.7,2001
01/01/2001,female,5-9,bumi_malay,732.5,2001
01/01/2001,female,5-9,bumi_other,167.1,2001
01/01/2001,female,5-9,chinese,247.8,2001
01/01/2001,female,5-9,indian,85.1,2001
01/01/2001,female,5-9,other_citizen,19.8,2001
01/01/2001,female,10-14,overall,1262.2,2001
01/01/2001,female,10-14,bumi_malay,702,2001
01/01/2001,female,10-14,bumi_other,157.8,2001
