state,date,sex,age,ethnicity,population,year
Johor,01/01/1980,both,overall,overall,1646.2,1980
Johor,01/01/1984,both,overall,overall,1825.8,1984
Johor,01/01/1988,both,overall,overall,2031,1988
Johor,01/01/1992,both,overall,overall,2249.1,1992
Johor,01/01/1996,both,overall,overall,2503.9,1996
Johor,01/01/2000,both,overall,overall,2762.5,2000
Johor,01/01/2004,both,overall,overall,3014.6,2004
Johor,01/01/2008,both,overall,overall,3252.3,2008
Johor,01/01/2012,both,overall,overall,3450.4,2012
Johor,01/01/2016,both,overall,overall,3651.8,2016
Johor,01/01/2020,both,overall,overall,4009.7,2020
Johor,01/01/2024,both,overall,overall,4186.3,2024
Kedah,01/01/1980,both,overall,overall,1119.9,1980
Kedah,01/01/1984,both,overall,overall,1206.1,1984
Kedah,01/01/1988,both,overall,overall,1305.4,1988
Kedah,01/01/1992,both,overall,overall,1402.1,1992
Kedah,01/01/1996,both,overall,overall,1533.2,1996
Kedah,01/01/2000,both,overall,overall,1671.9,2000
Kedah,01/01/2004,both,overall,overall,1792.4,2004
Kedah,01/01/2008,both,overall,overall,1900.2,2008
Kedah,01/01/2012,both,overall,overall,2001.1,2012
Kedah,01/01/2016,both,overall,overall,2119.7,2016
Kedah,01/01/2020,both,overall,overall,2131.4,2020
Kedah,01/01/2024,both,overall,overall,2217.5,2024
Kelantan,01/01/1980,both,overall,overall,895.7,1980
Kelantan,01/01/1984,both,overall,overall,1002.6,1984
Kelantan,01/01/1988,both,overall,overall,1124,1988
Kelantan,01/01/1992,both,overall,overall,1243.5,1992
Kelantan,01/01/1996,both,overall,overall,1301.1,1996
Kelantan,01/01/2000,both,overall,overall,1361.4,2000
Kelantan,01/01/2004,both,overall,overall,1463.8,2004
Kelantan,01/01/2008,both,overall,overall,1549.8,2008
Kelantan,01/01/2012,both,overall,overall,1651,2012
Kelantan,01/01/2016,both,overall,overall,1796.7,2016
Kelantan,01/01/2020,both,overall,overall,1792.5,2020
Kelantan,01/01/2024,both,overall,overall,1888.5,2024
Melaka,01/01/1980,both,overall,overall,466.9,1980
Melaka,01/01/1984,both,overall,overall,491.2,1984
Melaka,01/01/1988,both,overall,overall,520.5,1988
Melaka,01/01/1992,both,overall,overall,551.8,1992
Melaka,01/01/1996,both,overall,overall,597.3,1996
Melaka,01/01/2000,both,overall,overall,646.6,2000
Melaka,01/01/2004,both,overall,overall,719.8,2004
Melaka,01/01/2008,both,overall,overall,790.5,2008
Melaka,01/01/2012,both,overall,overall,843.2,2012
Melaka,01/01/2016,both,overall,overall,901.1,2016
Melaka,01/01/2020,both,overall,overall,998.4,2020
Melaka,01/01/2024,both,overall,overall,1047.1,2024
Negeri Sembilan,01/01/1980,both,overall,overall,576.7,1980
Negeri Sembilan,01/01/1984,both,overall,overall,623.8,1984
Negeri Sembilan,01/01/1988,both,overall,overall,683.5,1988
Negeri Sembilan,01/01/1992,both,overall,overall,741.7,1992
Negeri Sembilan,01/01/1996,both,overall,overall,802.6,1996
Negeri Sembilan,01/01/2000,both,overall,overall,866.1,2000
Negeri Sembilan,01/01/2004,both,overall,overall,933.7,2004
