state,date,sex,age,ethnicity,population,area,year,Population_absolute
Johor,01/01/2000,both,overall,overall,2762.5,19210,2000,2762500
Kedah,01/01/2000,both,overall,overall,1671.9,9500,2000,1671900
Kelantan,01/01/2000,both,overall,overall,1361.4,15099,2000,1361400
Melaka,01/01/2000,both,overall,overall,646.6,1664,2000,646600
Negeri Sembilan,01/01/2000,both,overall,overall,866.1,6686,2000,866100
Pahang,01/01/2000,both,overall,overall,1295.8,36137,2000,1295800
Perak,01/01/2000,both,overall,overall,2091.7,21035,2000,2091700
Perlis,01/01/2000,both,overall,overall,207.6,821,2000,207600
Pulau Pinang,01/01/2000,both,overall,overall,1332.7,1048,2000,1332700
Sabah,01/01/2000,both,overall,overall,2603.5,73631,2000,2603500
Sarawak,01/01/2000,both,overall,overall,2071.5,124450,2000,2071500
Selangor,01/01/2000,both,overall,overall,4188.9,8104,2000,4188900
Terengganu,01/01/2000,both,overall,overall,902.6,13035,2000,902600
Kuala Lumpur,01/01/2000,both,overall,overall,1416,243,2000,1416000
Labuan,01/01/2000,both,overall,overall,76.1,91,2000,76100
Johor,01/01/2001,both,overall,overall,2829.9,19210,2001,2829900
Kedah,01/01/2001,both,overall,overall,1703.9,9500,2001,1703900
Kelantan,01/01/2001,both,overall,overall,1390,15099,2001,1390000
Melaka,01/01/2001,both,overall,overall,665.8,1664,2001,665800
Negeri Sembilan,01/01/2001,both,overall,overall,883.7,6686,2001,883700
Pahang,01/01/2001,both,overall,overall,1317.3,36137,2001,1317300
Perak,01/01/2001,both,overall,overall,2129,21035,2001,2129000
Perlis,01/01/2001,both,overall,overall,210.4,821,2001,210400
Pulau Pinang,01/01/2001,both,overall,overall,1361,1048,2001,1361000
Sabah,01/01/2001,both,overall,overall,2663.3,73631,2001,2663300
Sarawak,01/01/2001,both,overall,overall,2115.6,124450,2001,2115600
Selangor,01/01/2001,both,overall,overall,4317.5,8104,2001,4317500
Terengganu,01/01/2001,both,overall,overall,920,13035,2001,920000
Kuala Lumpur,01/01/2001,both,overall,overall,1446.2,243,2001,1446200
Labuan,01/01/2001,both,overall,overall,77,91,2001,77000
Johor,01/01/2002,both,overall,overall,2893.6,19210,2002,2893600
Kedah,01/01/2002,both,overall,overall,1734.8,9500,2002,1734800
Kelantan,01/01/2002,both,overall,overall,1416.7,15099,2002,1416700
Melaka,01/01/2002,both,overall,overall,684.1,1664,2002,684100
Negeri Sembilan,01/01/2002,both,overall,overall,900.3,6686,2002,900300
Pahang,01/01/2002,both,overall,overall,1338.7,36137,2002,1338700
Perak,01/01/2002,both,overall,overall,2161.8,21035,2002,2161800
Perlis,01/01/2002,both,overall,overall,213.2,821,2002,213200
Pulau Pinang,01/01/2002,both,overall,overall,1387.3,1048,2002,1387300
Sabah,01/01/2002,both,overall,overall,2719.1,73631,2002,2719100
Sarawak,01/01/2002,both,overall,overall,2158.3,124450,2002,2158300
Selangor,01/01/2002,both,overall,overall,4446.3,8104,2002,4446300
Terengganu,01/01/2002,both,overall,overall,936.6,13035,2002,936600
Kuala Lumpur,01/01/2002,both,overall,overall,1474.1,243,2002,1474100
Labuan,01/01/2002,both,overall,overall,77.8,91,2002,77800
Johor,01/01/2003,both,overall,overall,2954,19210,2003,2954000
Kedah,01/01/2003,both,overall,overall,1763.7,9500,2003,1763700
Kelantan,01/01/2003,both,overall,overall,1440.5,15099,2003,1440500
Melaka,01/01/2003,both,overall,overall,701.8,1664,2003,701800
Negeri Sembilan,01/01/2003,both,overall,overall,916.8,6686,2003,916800
Pahang,01/01/2003,both,overall,overall,1360,36137,2003,1360000
Perak,01/01/2003,both,overall,overall,2192.1,21035,2003,2192100
Perlis,01/01/2003,both,overall,overall,216,821,2003,216000
Pulau Pinang,01/01/2003,both,overall,overall,1412.2,1048,2003,1412200
Sabah,01/01/2003,both,overall,overall,2774,73631,2003,2774000
Sarawak,01/01/2003,both,overall,overall,2199,124450,2003,2199000
Selangor,01/01/2003,both,overall,overall,4577.3,8104,2003,4577300
Terengganu,01/01/2003,both,overall,overall,951.4,13035,2003,951400
