state,date,sex,age,ethnicity,population,area,year
Johor,01/01/2000,both,overall,overall,2762.5,19210,2000
Johor,01/01/2001,both,overall,overall,2829.9,19210,2001
Johor,01/01/2002,both,overall,overall,2893.6,19210,2002
Johor,01/01/2003,both,overall,overall,2954,19210,2003
Johor,01/01/2004,both,overall,overall,3014.6,19210,2004
Johor,01/01/2005,both,overall,overall,3074.4,19210,2005
Johor,01/01/2006,both,overall,overall,3134.4,19210,2006
Johor,01/01/2007,both,overall,overall,3193.5,19210,2007
Johor,01/01/2008,both,overall,overall,3252.3,19210,2008
Johor,01/01/2009,both,overall,overall,3309.4,19210,2009
Johor,01/01/2010,both,overall,overall,3362.9,19210,2010
Johor,01/01/2011,both,overall,overall,3410.5,19210,2011
Johor,01/01/2012,both,overall,overall,3450.4,19210,2012
Johor,01/01/2013,both,overall,overall,3474.4,19210,2013
Johor,01/01/2014,both,overall,overall,3559.8,19210,2014
Johor,01/01/2015,both,overall,overall,3610.3,19210,2015
Johor,01/01/2016,both,overall,overall,3651.8,19210,2016
Johor,01/01/2017,both,overall,overall,3697,19210,2017
Johor,01/01/2018,both,overall,overall,3749.4,19210,2018
Johor,01/01/2019,both,overall,overall,3761.2,19210,2019
Johor,01/01/2020,both,overall,overall,4009.7,19210,2020
Johor,01/01/2021,both,overall,overall,4020,19210,2021
Johor,01/01/2022,both,overall,overall,4028.3,19210,2022
Johor,01/01/2023,both,overall,overall,4107.2,19210,2023
Johor,01/01/2024,both,overall,overall,4186.3,19210,2024
Kedah,01/01/2000,both,overall,overall,1671.9,9500,2000
Kedah,01/01/2001,both,overall,overall,1703.9,9500,2001
Kedah,01/01/2002,both,overall,overall,1734.8,9500,2002
Kedah,01/01/2003,both,overall,overall,1763.7,9500,2003
Kedah,01/01/2004,both,overall,overall,1792.4,9500,2004
Kedah,01/01/2005,both,overall,overall,1820.3,9500,2005
Kedah,01/01/2006,both,overall,overall,1847.5,9500,2006
Kedah,01/01/2007,both,overall,overall,1874.2,9500,2007
Kedah,01/01/2008,both,overall,overall,1900.2,9500,2008
Kedah,01/01/2009,both,overall,overall,1925.3,9500,2009
Kedah,01/01/2010,both,overall,overall,1949.3,9500,2010
Kedah,01/01/2011,both,overall,overall,1971.8,9500,2011
Kedah,01/01/2012,both,overall,overall,2001.1,9500,2012
Kedah,01/01/2013,both,overall,overall,2039.8,9500,2013
Kedah,01/01/2014,both,overall,overall,2062.7,9500,2014
Kedah,01/01/2015,both,overall,overall,2096.5,9500,2015
Kedah,01/01/2016,both,overall,overall,2119.7,9500,2016
Kedah,01/01/2017,both,overall,overall,2143.9,9500,2017
Kedah,01/01/2018,both,overall,overall,2163,9500,2018
Kedah,01/01/2019,both,overall,overall,2173.7,9500,2019
Kedah,01/01/2020,both,overall,overall,2131.4,9500,2020
Kedah,01/01/2021,both,overall,overall,2151.7,9500,2021
Kedah,01/01/2022,both,overall,overall,2163.1,9500,2022
Kedah,01/01/2023,both,overall,overall,2189.3,9500,2023
Kedah,01/01/2024,both,overall,overall,2217.5,9500,2024
Kelantan,01/01/2000,both,overall,overall,1361.4,15099,2000
Kelantan,01/01/2001,both,overall,overall,1390,15099,2001
Kelantan,01/01/2002,both,overall,overall,1416.7,15099,2002
Kelantan,01/01/2003,both,overall,overall,1440.5,15099,2003
Kelantan,01/01/2004,both,overall,overall,1463.8,15099,2004
Kelantan,01/01/2005,both,overall,overall,1486.3,15099,2005
Kelantan,01/01/2006,both,overall,overall,1507.6,15099,2006
Kelantan,01/01/2007,both,overall,overall,1529.1,15099,2007
Kelantan,01/01/2008,both,overall,overall,1549.8,15099,2008
Kelantan,01/01/2009,both,overall,overall,1570,15099,2009
Kelantan,01/01/2010,both,overall,overall,1589.9,15099,2010
Kelantan,01/01/2011,both,overall,overall,1618.8,15099,2011
Kelantan,01/01/2012,both,overall,overall,1651,15099,2012
Kelantan,01/01/2013,both,overall,overall,1683.5,15099,2013
Kelantan,01/01/2014,both,overall,overall,1723.4,15099,2014
Kelantan,01/01/2015,both,overall,overall,1760.6,15099,2015
Kelantan,01/01/2016,both,overall,overall,1796.7,15099,2016
Kelantan,01/01/2017,both,overall,overall,1829,15099,2017
Kelantan,01/01/2018,both,overall,overall,1860.5,15099,2018
Kelantan,01/01/2019,both,overall,overall,1883.8,15099,2019
Kelantan,01/01/2020,both,overall,overall,1792.5,15099,2020
Kelantan,01/01/2021,both,overall,overall,1812.3,15099,2021
Kelantan,01/01/2022,both,overall,overall,1830.6,15099,2022
Kelantan,01/01/2023,both,overall,overall,1859.8,15099,2023
Kelantan,01/01/2024,both,overall,overall,1888.5,15099,2024
Melaka,01/01/2000,both,overall,overall,646.6,1664,2000
Melaka,01/01/2001,both,overall,overall,665.8,1664,2001
Melaka,01/01/2002,both,overall,overall,684.1,1664,2002
Melaka,01/01/2003,both,overall,overall,701.8,1664,2003
Melaka,01/01/2004,both,overall,overall,719.8,1664,2004
Melaka,01/01/2005,both,overall,overall,737.3,1664,2005
Melaka,01/01/2006,both,overall,overall,755,1664,2006
Melaka,01/01/2007,both,overall,overall,772.8,1664,2007
Melaka,01/01/2008,both,overall,overall,790.5,1664,2008
Melaka,01/01/2009,both,overall,overall,807.8,1664,2009
Melaka,01/01/2010,both,overall,overall,823.6,1664,2010
Melaka,01/01/2011,both,overall,overall,833.2,1664,2011
Melaka,01/01/2012,both,overall,overall,843.2,1664,2012
Melaka,01/01/2013,both,overall,overall,856.7,1664,2013
Melaka,01/01/2014,both,overall,overall,871.7,1664,2014
Melaka,01/01/2015,both,overall,overall,889,1664,2015
Melaka,01/01/2016,both,overall,overall,901.1,1664,2016
Melaka,01/01/2017,both,overall,overall,913.1,1664,2017
Melaka,01/01/2018,both,overall,overall,922.4,1664,2018
Melaka,01/01/2019,both,overall,overall,928.4,1664,2019
Melaka,01/01/2020,both,overall,overall,998.4,1664,2020
Melaka,01/01/2021,both,overall,overall,1004.5,1664,2021
Melaka,01/01/2022,both,overall,overall,1008.6,1664,2022
Melaka,01/01/2023,both,overall,overall,1028.3,1664,2023
Melaka,01/01/2024,both,overall,overall,1047.1,1664,2024
Negeri Sembilan,01/01/2000,both,overall,overall,866.1,6686,2000
Negeri Sembilan,01/01/2001,both,overall,overall,883.7,6686,2001
Negeri Sembilan,01/01/2002,both,overall,overall,900.3,6686,2002
Negeri Sembilan,01/01/2003,both,overall,overall,916.8,6686,2003
Negeri Sembilan,01/01/2004,both,overall,overall,933.7,6686,2004
Negeri Sembilan,01/01/2005,both,overall,overall,950.3,6686,2005
Negeri Sembilan,01/01/2006,both,overall,overall,967,6686,2006
Negeri Sembilan,01/01/2007,both,overall,overall,983.5,6686,2007
Negeri Sembilan,01/01/2008,both,overall,overall,999.6,6686,2008
Negeri Sembilan,01/01/2009,both,overall,overall,1014.9,6686,2009
Negeri Sembilan,01/01/2010,both,overall,overall,1029.5,6686,2010
Negeri Sembilan,01/01/2011,both,overall,overall,1047.4,6686,2011
Negeri Sembilan,01/01/2012,both,overall,overall,1057.7,6686,2012
Negeri Sembilan,01/01/2013,both,overall,overall,1072.2,6686,2013
Negeri Sembilan,01/01/2014,both,overall,overall,1079.6,6686,2014
Negeri Sembilan,01/01/2015,both,overall,overall,1088.8,6686,2015
Negeri Sembilan,01/01/2016,both,overall,overall,1099.3,6686,2016
Negeri Sembilan,01/01/2017,both,overall,overall,1114,6686,2017
Negeri Sembilan,01/01/2018,both,overall,overall,1122.9,6686,2018
Negeri Sembilan,01/01/2019,both,overall,overall,1126.2,6686,2019
Negeri Sembilan,01/01/2020,both,overall,overall,1200,6686,2020
Negeri Sembilan,01/01/2021,both,overall,overall,1204.2,6686,2021
Negeri Sembilan,01/01/2022,both,overall,overall,1207.9,6686,2022
Negeri Sembilan,01/01/2023,both,overall,overall,1224.9,6686,2023
Negeri Sembilan,01/01/2024,both,overall,overall,1240.1,6686,2024
Pahang,01/01/2000,both,overall,overall,1295.8,36137,2000
Pahang,01/01/2001,both,overall,overall,1317.3,36137,2001
Pahang,01/01/2002,both,overall,overall,1338.7,36137,2002
Pahang,01/01/2003,both,overall,overall,1360,36137,2003
Pahang,01/01/2004,both,overall,overall,1380.2,36137,2004
Pahang,01/01/2005,both,overall,overall,1400.8,36137,2005
Pahang,01/01/2006,both,overall,overall,1421.2,36137,2006
Pahang,01/01/2007,both,overall,overall,1441.4,36137,2007
Pahang,01/01/2008,both,overall,overall,1461.6,36137,2008
Pahang,01/01/2009,both,overall,overall,1481.7,36137,2009
Pahang,01/01/2010,both,overall,overall,1501.9,36137,2010
Pahang,01/01/2011,both,overall,overall,1526.8,36137,2011
Pahang,01/01/2012,both,overall,overall,1547.1,36137,2012
Pahang,01/01/2013,both,overall,overall,1568.7,36137,2013
Pahang,01/01/2014,both,overall,overall,1591.7,36137,2014
Pahang,01/01/2015,both,overall,overall,1607.9,36137,2015
Pahang,01/01/2016,both,overall,overall,1626.7,36137,2016
Pahang,01/01/2017,both,overall,overall,1647,36137,2017
Pahang,01/01/2018,both,overall,overall,1664.7,36137,2018
Pahang,01/01/2019,both,overall,overall,1671.4,36137,2019
Pahang,01/01/2020,both,overall,overall,1591.3,36137,2020
Pahang,01/01/2021,both,overall,overall,1601.5,36137,2021
Pahang,01/01/2022,both,overall,overall,1614.3,36137,2022
Pahang,01/01/2023,both,overall,overall,1643.2,36137,2023
Pahang,01/01/2024,both,overall,overall,1668.2,36137,2024
Perak,01/01/2000,both,overall,overall,2091.7,21035,2000
Perak,01/01/2001,both,overall,overall,2129,21035,2001
Perak,01/01/2002,both,overall,overall,2161.8,21035,2002
Perak,01/01/2003,both,overall,overall,2192.1,21035,2003
Perak,01/01/2004,both,overall,overall,2222.1,21035,2004
Perak,01/01/2005,both,overall,overall,2251.1,21035,2005
Perak,01/01/2006,both,overall,overall,2279.3,21035,2006
Perak,01/01/2007,both,overall,overall,2306.4,21035,2007
Perak,01/01/2008,both,overall,overall,2331.6,21035,2008
Perak,01/01/2009,both,overall,overall,2355.7,21035,2009
Perak,01/01/2010,both,overall,overall,2379,21035,2010
Perak,01/01/2011,both,overall,overall,2402.7,21035,2011
Perak,01/01/2012,both,overall,overall,2427,21035,2012
Perak,01/01/2013,both,overall,overall,2447.2,21035,2013
Perak,01/01/2014,both,overall,overall,2458.8,21035,2014
Perak,01/01/2015,both,overall,overall,2466.9,21035,2015
Perak,01/01/2016,both,overall,overall,2482.1,21035,2016
Perak,01/01/2017,both,overall,overall,2493.2,21035,2017
Perak,01/01/2018,both,overall,overall,2503.5,21035,2018
Perak,01/01/2019,both,overall,overall,2508.8,21035,2019
Perak,01/01/2020,both,overall,overall,2496,21035,2020
Perak,01/01/2021,both,overall,overall,2515.8,21035,2021
Perak,01/01/2022,both,overall,overall,2514.4,21035,2022
Perak,01/01/2023,both,overall,overall,2541.2,21035,2023
Perak,01/01/2024,both,overall,overall,2569.6,21035,2024
Perlis,01/01/2000,both,overall,overall,207.6,821,2000
Perlis,01/01/2001,both,overall,overall,210.4,821,2001
Perlis,01/01/2002,both,overall,overall,213.2,821,2002
Perlis,01/01/2003,both,overall,overall,216,821,2003
Perlis,01/01/2004,both,overall,overall,218.8,821,2004
Perlis,01/01/2005,both,overall,overall,221.6,821,2005
Perlis,01/01/2006,both,overall,overall,224.4,821,2006
Perlis,01/01/2007,both,overall,overall,227.2,821,2007
Perlis,01/01/2008,both,overall,overall,230.1,821,2008
Perlis,01/01/2009,both,overall,overall,233,821,2009
Perlis,01/01/2010,both,overall,overall,235.8,821,2010
Perlis,01/01/2011,both,overall,overall,237.3,821,2011
Perlis,01/01/2012,both,overall,overall,239.4,821,2012
Perlis,01/01/2013,both,overall,overall,242.1,821,2013
Perlis,01/01/2014,both,overall,overall,245.1,821,2014
Perlis,01/01/2015,both,overall,overall,248.5,821,2015
Perlis,01/01/2016,both,overall,overall,251,821,2016
Perlis,01/01/2017,both,overall,overall,252,821,2017
Perlis,01/01/2018,both,overall,overall,253.5,821,2018
Perlis,01/01/2019,both,overall,overall,254,821,2019
Perlis,01/01/2020,both,overall,overall,284.9,821,2020
Perlis,01/01/2021,both,overall,overall,287.6,821,2021
Perlis,01/01/2022,both,overall,overall,289.8,821,2022
Perlis,01/01/2023,both,overall,overall,293.1,821,2023
Perlis,01/01/2024,both,overall,overall,296.8,821,2024
Pulau Pinang,01/01/2000,both,overall,overall,1332.7,1048,2000
Pulau Pinang,01/01/2001,both,overall,overall,1361,1048,2001
Pulau Pinang,01/01/2002,both,overall,overall,1387.3,1048,2002
Pulau Pinang,01/01/2003,both,overall,overall,1412.2,1048,2003
Pulau Pinang,01/01/2004,both,overall,overall,1436.6,1048,2004
Pulau Pinang,01/01/2005,both,overall,overall,1460.4,1048,2005
Pulau Pinang,01/01/2006,both,overall,overall,1484.1,1048,2006
Pulau Pinang,01/01/2007,both,overall,overall,1507.8,1048,2007
Pulau Pinang,01/01/2008,both,overall,overall,1531.3,1048,2008
Pulau Pinang,01/01/2009,both,overall,overall,1554.3,1048,2009
Pulau Pinang,01/01/2010,both,overall,overall,1575.9,1048,2010
Pulau Pinang,01/01/2011,both,overall,overall,1601,1048,2011
Pulau Pinang,01/01/2012,both,overall,overall,1623.2,1048,2012
Pulau Pinang,01/01/2013,both,overall,overall,1662.6,1048,2013
Pulau Pinang,01/01/2014,both,overall,overall,1678.1,1048,2014
Pulau Pinang,01/01/2015,both,overall,overall,1698.1,1048,2015
Pulau Pinang,01/01/2016,both,overall,overall,1717.7,1048,2016
Pulau Pinang,01/01/2017,both,overall,overall,1744.1,1048,2017
Pulau Pinang,01/01/2018,both,overall,overall,1762.8,1048,2018
Pulau Pinang,01/01/2019,both,overall,overall,1768.8,1048,2019
Pulau Pinang,01/01/2020,both,overall,overall,1740.4,1048,2020
Pulau Pinang,01/01/2021,both,overall,overall,1740,1048,2021
Pulau Pinang,01/01/2022,both,overall,overall,1740.9,1048,2022
Pulau Pinang,01/01/2023,both,overall,overall,1772.6,1048,2023
Pulau Pinang,01/01/2024,both,overall,overall,1800.4,1048,2024
Sabah,01/01/2000,both,overall,overall,2603.5,73631,2000
Sabah,01/01/2001,both,overall,overall,2663.3,73631,2001
Sabah,01/01/2002,both,overall,overall,2719.1,73631,2002
Sabah,01/01/2003,both,overall,overall,2774,73631,2003
Sabah,01/01/2004,both,overall,overall,2833.4,73631,2004
Sabah,01/01/2005,both,overall,overall,2897,73631,2005
Sabah,01/01/2006,both,overall,overall,2962.9,73631,2006
Sabah,01/01/2007,both,overall,overall,3032.3,73631,2007
Sabah,01/01/2008,both,overall,overall,3105.1,73631,2008
Sabah,01/01/2009,both,overall,overall,3181.1,73631,2009
Sabah,01/01/2010,both,overall,overall,3260,73631,2010
Sabah,01/01/2011,both,overall,overall,3345.5,73631,2011
Sabah,01/01/2012,both,overall,overall,3432.7,73631,2012
Sabah,01/01/2013,both,overall,overall,3611.5,73631,2013
Sabah,01/01/2014,both,overall,overall,3669.9,73631,2014
Sabah,01/01/2015,both,overall,overall,3720.5,73631,2015
Sabah,01/01/2016,both,overall,overall,3802.8,73631,2016
Sabah,01/01/2017,both,overall,overall,3855.9,73631,2017
Sabah,01/01/2018,both,overall,overall,3898.4,73631,2018
Sabah,01/01/2019,both,overall,overall,3904.4,73631,2019
Sabah,01/01/2020,both,overall,overall,3418.8,73631,2020
Sabah,01/01/2021,both,overall,overall,3412.6,73631,2021
Sabah,01/01/2022,both,overall,overall,3414.9,73631,2022
Sabah,01/01/2023,both,overall,overall,3596.7,73631,2023
Sabah,01/01/2024,both,overall,overall,3742.2,73631,2024
Sarawak,01/01/2000,both,overall,overall,2071.5,124450,2000
Sarawak,01/01/2001,both,overall,overall,2115.6,124450,2001
Sarawak,01/01/2002,both,overall,overall,2158.3,124450,2002
Sarawak,01/01/2003,both,overall,overall,2199,124450,2003
Sarawak,01/01/2004,both,overall,overall,2240.4,124450,2004
Sarawak,01/01/2005,both,overall,overall,2282.4,124450,2005
Sarawak,01/01/2006,both,overall,overall,2324.9,124450,2006
Sarawak,01/01/2007,both,overall,overall,2366.1,124450,2007
